Compound	toxicity	score	n_refs	pubmed_ids
Dasatinib_monohydrate	neurotoxicity	-0.16	4	36455991,25117211,24431214,27798188
Dasatinib_monohydrate	hepatotoxicity	1.87	8	21138592,34794962,34292334,21235620,22538170,25749037,23956101,24264834
Dasatinib_monohydrate	nephrotoxicity	0.02	4	21531328,31053734,32664269,20922699
Dasatinib_monohydrate	genotoxicity	-0.33	4	18398719,29545172,34011155,19789626
Dasatinib_monohydrate	cardiotoxicity	3.92	26	31280457,35152199,19502192,19734999,18664550,22843568,33068232,19789626,31711851,24037637,33685352,29466183,31520926,26198824,20345830,19606213,20399520,32152879,20045709,32124237,26598548,20386534,20832415,29975149,30086328,32348984
Chlorpyrifos	hepatotoxicity	3.34	22	33583223,25707953,15991261,29500983,28005083,29529450,31284640,26674679,23402859,25669166,34050517,32194361,32955216,29463411,35427626,11697766,36152060,21787695,28433638,35522419,31537057,7535964
Chlorpyrifos	neurotoxicity	5.62	318	19337505,15963356,22224058,16675431,20456333,18761328,28369648,25239634,32092566,22240005,20479945,22835727,20600679,7513360,7545834,23352508,21255595,23686008,10794393,16102884,21745564,10788567,7689993,26070385,17452286,36252918,19609937,18158111,18773955,24967689,33066842,7531776,72768,26524701,22947518,32651842,26748072,27296654,14741763,28791702,33059141,10101102,23418109,10876030,12417480,10753086,7684990,30897478,30385350,31181518,20331868,28099088,19079407,25466362,28385489,30442131,16102564,20211722,17196233,32569998,18436430,30497708,25510202,1283795,24096155,22222554,20096330,20692364,10700556,25634256,18595656,18945337,25864908,20599831,22155227,25803479,12676612,25704171,17805420,33086912,35863251,20026089,32115908,21346248,25261807,30871546,29109040,14757517,29421768,19730756,21385392,22155319,9443830,20056586,12505446,30909143,22126615,21237238,24292926,18096363,20019907,23761300,11006355,10429680,24394474,33297076,29939342,35767555,27988393,17194517,9620094,19440498,7694187,22036888,10876031,11274874,29136795,31108286,20382209,12460655,22985519,21848865,35151785,27521977,17016712,17366821,23416428,11350214,30747009,18335101,16440518,22796634,20185383,32361846,28112198,12464398,33011216,21998611,18187192,8954750,36704964,21453761,35427626,24573775,19631231,26314619,34250774,35522419,34843728,20142434,14691213,16704049,26775027,18817854,26552522,31698196,10837889,30990955,8801577,17084875,20004241,22085162,22287024,7566687,18502319,25707953,14644659,11199252,34557296,15963341,35378221,29475860,30187357,34289071,11393797,17321052,21356183,22732190,18835401,31756950,29156651,28373059,20350560,10429681,36173421,31104238,24373905,20884390,34562505,32602772,17185266,15772369,25856237,17720543,22425525,24975276,12791540,20562809,33706179,29948719,19165396,24524247,15929901,25567057,16079074,11485862,25070982,6192368,34682526,23602412,26215101,10548430,32215171,30267645,31604193,29572745,34058248,35225412,26302912,15019964,29859868,36269219,33288284,11829414,24727577,28861684,17589599,11673119,34327919,33839396,31868356,32749514,12611658,22287959,27018022,36809709,28858752,31761588,35114315,31229817,14594624,15541749,20097188,30006344,26254766,31965510,18166376,24798379,31152760,21922192,18941570,34626844,15683177,26409647,33221011,21783512,34469172,19061257,15081274,17589601,31251962,19337507,9705902,20691718,21672545,31931040,35137321,9693782,36347328,30944002,36231509,17366826,34802527,18355640,7531775,18977280,28300621,31136966,9457737,26018426,11164809,21948870,18560525,34915193,21907279,24447827,30612050,15183016,20682304,11749124,32896378,36722685,24732443,15805077,15901919,22327016,19268529,32006337,14754571,29605586,34455033,16760416,11960678,12140181,33166511,11307850,8641666,9221834,35623197,15236950,22735254,27523287,21899407,16790487,25447325,10596300,25176568,23624379
Chlorpyrifos	immunotoxicity	4.87	25	9081885,18573527,25424538,32120800,23769463,27429139,28296077,23020043,24328552,33548043,33059141,16229903,25634256,29529450,32569998,28167451,29433082,25917970,23078415,29902138,10607997,12739880,35753671,31398777,29667781
Chlorpyrifos	hematotoxicity	4.45	4	21987380,31404653,29529450,22005501
Chlorpyrifos	ototoxicity	0.43	1	21833797
Chlorpyrifos	genotoxicity	3.50	82	30236704,26002045,34056770,18442071,19141310,9600692,23661578,27481072,33821416,36375727,27470700,7533892,23535402,34843728,25205738,32347497,23062944,33049511,31756950,34706497,35772841,17361554,28140694,31430607,35973759,25196089,29671119,34881454,29572745,20864627,11943619,1374528,29108776,16707324,17185266,19167512,28756254,33059141,31751924,20021138,21787695,18359502,32500495,24468856,9600691,21786386,24011534,33006436,24524247,21047179,27603568,29710582,32481203,18481316,22345990,25142351,36226822,25230876,23092307,27941166,6198172,26545888,26453227,28505574,18595656,31879882,21559255,26299117,21430913,30909143,12298281,30365181,14979094,36496999,15198073,19524702,36231509,31154195,22084712,34425170,30264469,20196147
Chlorpyrifos	nephrotoxicity	1.19	13	26403246,26674679,27511519,22016648,30500169,35522419,21787695,31310849,20504822,18456295,33583223,12099624,36521549
Chlorpyrifos	cardiotoxicity	1.61	11	36808036,31098944,24818614,33430739,36341877,31400774,19674799,19003596,30975443,11750078,21750347
Hexachlorophene	genotoxicity	-1.28	1	15962942
Hexachlorophene	nephrotoxicity	-0.93	1	18261919
Hexachlorophene	neurotoxicity	3.21	20	1137506,7377265,663941,1137505,6939279,16797711,4206035,6506093,3632046,7211199,4798141,2906023,6837272,1128994,32870474,1117313,4431666,32949729,27555423,2616062
Hexachlorophene	hepatotoxicity	1.93	2	20843939,20553011
Imiprothrin	genotoxicity	7.08	1	33638779
Diclofenac	hematotoxicity	1.62	1	34157463
Diclofenac	ototoxicity	-0.41	1	28583486
Diclofenac	neurotoxicity	0.51	23	34214917,33045363,31945523,27785820,31210533,1803791,25996524,34157463,17123485,31150883,31305161,22374720,32806419,12618347,24177360,33855662,21170329,11727794,20190962,21092260,20157512,19912067,16498717
Diclofenac	hepatotoxicity	5.49	176	35698810,18480146,28092840,18541695,33080439,29203276,26487432,15304311,21771673,9207985,19607853,30210009,7981423,21955289,3792922,8541344,26627130,2307831,10449188,21111035,27183920,9654706,36344803,14566034,9114978,8287508,24246759,25772430,1582111,19481141,12763371,31345115,9407344,27130197,11870366,32615451,11893420,3797366,9765339,15500411,17241877,23506792,20930354,34187111,8014443,33984239,19174782,3178321,16359179,7612373,30645151,23208430,8477004,26491234,27313093,18419141,14615966,15122773,30483860,27092633,19000659,8045918,17998295,32458261,14599462,11717171,8462374,25849576,21053927,17549590,27497634,28253087,35265214,24752500,28535741,14575648,22330146,10975605,21386809,12512877,9168252,21321060,10979111,9715830,15695022,22227826,27671914,34422219,21434381,22998212,2232043,9298253,28062205,36271578,20086033,10749341,19063590,26424593,34157463,16990511,11992736,22499717,31766895,22445086,22285467,18191430,27092500,17097122,29392957,35952865,19932139,32372211,29871962,12871048,10064567,8532609,36674967,8605291,18801949,36284948,9862754,12781629,28717109,31353658,35306043,23939143,18227147,12781628,28614776,11387019,8816722,19689281,19912067,15931767,35748891,20553011,28069987,18405372,21263458,11191738,19805476,17662147,18524759,25663337,20872616,25051504,15822174,19948161,22331495,24085192,16828827,12238146,17286266,21042470,23397584,21151465,23721565,28762043,28138970,14986274,24747151,16504461,20843939,22931300,36442613,18246545,30925002,19362101,22447115,21170329,19332084,26921665,20981297,21846403,35537566,17723920
Diclofenac	immunotoxicity	1.71	5	28189777,17320264,27003719,33542403,32615451
Diclofenac	genotoxicity	1.20	38	33248860,27036085,27046060,33309951,20926620,30798079,32087850,35093559,32325296,19426796,31470472,21971971,22450446,33338643,32056798,28167441,16696571,28324828,25038277,17613133,15962942,29421735,24393029,30948195,29885575,33985691,33529921,18972594,35868525,33472112,31376569,33045363,32172961,17307218,16139406,21873647,22084712,34157463
Diclofenac	nephrotoxicity	2.46	68	35671584,26087637,31042592,31332906,24365796,21396950,19069845,24558471,10979111,29871962,36674967,35143828,28800174,8153417,2953512,29935248,36284948,22258319,11440826,29462429,22331206,27665477,29847737,33865881,12501222,20166930,34157463,8795442,32000294,27671914,29245065,28315429,34229076,19882796,18325323,17867257,34187111,3410028,7593907,31546157,36127547,21103459,31368551,34619549,33165700,32748022,33610709,20930354,35091105,15976495,22582287,19382628,23980564,9090444,19473619,25340915,7487376,20181195,26653735,18172885,20177497,18472996,22577546,21753897,11589252,10991954,12852704,21170252
Diclofenac	cardiotoxicity	2.22	26	30905704,27589040,32023064,31359235,31916080,34157463,25753886,31342476,24228015,35590388,2220134,19920767,28593443,30636337,31150883,32413916,36961261,34499283,32278692,33110169,19462923,29364179,31520926,16785833,21092260,33617802
Estriol	genotoxicity	-0.20	9	15177647,25856214,29053996,12202632,8441857,12110632,11071396,21056984,15525577
Estriol	hepatotoxicity	-2.25	1	22931300
Estriol	neurotoxicity	-0.62	6	28852923,16474421,11596861,12470862,27818250,30466464
Estriol	ototoxicity	-0.08	1	21856322
Sulfadiazine	hepatotoxicity	2.56	7	20829430,8503165,16531870,35744817,2129200,23956101,21546639
Sulfadiazine	neurotoxicity	-2.47	1	34748853
Sulfadiazine	hematotoxicity	3.10	1	15561866
Sulfadiazine	nephrotoxicity	0.89	9	19443125,16327720,22460395,8699959,21860787,16646986,2241449,12811231,10939760
Sulfadiazine	ototoxicity	3.66	2	19443125,30919672
Sulfadiazine	genotoxicity	-0.63	4	22693632,7152618,36165032,19961601
Perfluorooctanoic_acid	genotoxicity	2.59	21	35187785,21139333,20875479,25113910,23391484,21676652,16219484,22828883,33444659,28885018,27682001,19631249,1561629,20451658,36341878,20423814,2040027,31071380,30326792,35690182,21432084
Perfluorooctanoic_acid	cardiotoxicity	3.33	10	29800642,22273728,23941634,26098785,27771504,36436667,28594376,36028080,28934691,31445018
Perfluorooctanoic_acid	immunotoxicity	6.95	53	21075133,36565765,34517056,20954796,28521193,18470313,26084549,17369199,29689536,24459700,29405365,25108893,30482935,32867820,11597582,22109712,24361923,22322153,25212589,34888925,31726523,33727078,34780734,36592905,32227269,32086066,33773150,22732150,33033332,31904477,33871176,27608427,24284791,23639742,18802816,36129398,23597293,24486970,25056757,23137609,20816993,26761418,21397682,22030285,25350410,24503008,32717646,17558808,32916415,17519394,25812627,21677784,36326898
Perfluorooctanoic_acid	hepatotoxicity	5.00	47	24459700,36572227,30471604,22679824,27032815,23626681,30342367,26879310,30022264,31159145,26159507,25108893,28032147,34958885,35024202,32540561,27682001,23978341,19458971,16609670,34562763,29459119,29751030,31726523,29927593,36535450,30865431,24035753,30711707,36030957,28885018,36302320,32320774,35792765,27045622,36436667,29198028,23972907,7880882,27832320,35066053,21677784,35123991,35121066,17519394,20621793,36326898
Perfluorooctanoic_acid	neurotoxicity	2.75	22	27174824,23137609,26473702,32268227,33033332,18560525,34029635,28003637,27692925,16609670,24036611,31195004,19945530,35792765,32561179,28065522,36584763,27032815,27888120,19797866,17475001,20621793
Perfluorooctanoic_acid	nephrotoxicity	-0.03	3	30609483,36529335,21677784
Droperidol	cardiotoxicity	1.68	6	20601449,22488335,24590313,18343950,505448,12042225
Droperidol	nephrotoxicity	-1.44	1	3429979
Droperidol	hepatotoxicity	1.41	3	21225242,11220926,2608020
N-Methylolacrylamide	genotoxicity	5.34	3	26558449,20720197,16161713
N-Methylolacrylamide	neurotoxicity	5.51	3	1949079,7589932,2231776
Triadimenol	genotoxicity	2.26	2	8952709,7510838
Triadimenol	cardiotoxicity	2.93	1	36502969
Triadimenol	neurotoxicity	2.42	2	15451308,8600615
Perfluorohexanoic_acid	genotoxicity	4.33	4	20451658,30326792,19632293,23391484
Perfluorohexanoic_acid	neurotoxicity	2.91	1	34478978
Perfluorohexanoic_acid	hepatotoxicity	3.87	1	19458971
Propofol	nephrotoxicity	-2.29	5	19448211,19466351,25146774,25375956,14552108
Propofol	neurotoxicity	2.35	142	27665772,32729158,33534059,33833500,27571870,31998977,33641936,11991087,25169248,29578002,25980792,23085784,14507571,24827783,26769714,32585369,31187143,26290263,22367221,27189477,21266982,33450329,20599831,33633281,12505946,30377113,34551470,24704589,23533251,33032457,36010580,23168206,23422796,33928466,27026302,24705982,12921640,25030857,15329595,24121215,22510328,30006294,26254736,30522553,15554749,25577171,17312200,30242182,31923456,10917363,27756568,25431245,22069482,31108401,36854650,17004957,35338452,25844953,32506974,25121774,28622174,28540664,16506356,32031069,28676256,28959036,31625677,33970453,30415279,31190345,28435999,27771906,30143847,34990302,9040496,26352374,35337381,35799645,31257496,33411226,17079633,27126009,26572916,28465226,31520398,21431057,23722059,20306169,36640868,31516040,17277955,17653128,32370715,30636740,20714114,18812886,29127491,34014489,21466608,31419478,32151384,31257533,22496799,30858081,31578707,24950164,15525614,11209938,27121046,33301785,33079886,34418347,29576115,26103940,35984772,30858699,22198221,23295901,33932098,26317567,21409350,17079631,34216363,29679758,28869449,24912155,30261491,30536350,11973195,27551735,32375631,20060673,24686045,36646180,10072006,7528074,31656124,21824061,24398942,20819374,36519610,35473893
Propofol	hepatotoxicity	1.84	14	17975238,28341344,15852994,14511902,21994861,20553011,32111374,19173722,18073559,7484045,15532143,23276378,18452597,20843939
Propofol	cardiotoxicity	-0.49	11	17277955,24438483,16719893,22623080,20957136,35923108,35363601,8551177,32585369,30198930,24502639
Propofol	genotoxicity	-1.79	9	22329024,21944903,14644354,11065208,19593899,28017168,15725617,21217853,15962942
Acetamiprid	neurotoxicity	4.06	12	26513508,22393406,35781001,37005278,31266377,26535579,26990785,28980111,19248625,32396780,30047162,27782041
Acetamiprid	hepatotoxicity	3.02	3	27680006,35715032,31818243
Acetamiprid	immunotoxicity	4.98	3	28843496,25308553,35715032
Acetamiprid	hematotoxicity	5.63	1	35715032
Acetamiprid	nephrotoxicity	2.66	4	36723315,31818243,31916150,35715032
Acetamiprid	genotoxicity	3.77	11	17603792,29933130,25175643,31170869,29405074,29710582,24535295,34121161,30999177,19319990,22545045
Lidocaine	genotoxicity	-2.75	6	33301869,19027815,29402925,3078454,15962942,21515933
Lidocaine	hepatotoxicity	-0.54	8	3421495,7252855,2159157,20829430,20843939,25455453,23956101,20553011
Lidocaine	neurotoxicity	2.45	190	14992120,3930047,10834772,9249105,18042864,7618722,18088445,11388541,3729019,11159218,16193185,7743565,14524012,27108824,28436683,9915349,21841477,29327607,3243921,20461003,26999361,11167171,11359235,12170057,26268936,27018092,22462169,2064066,8250327,12873946,7416554,8747244,8517109,12151934,12411812,7618726,9580578,1742828,10472226,29976059,25428796,28235576,23091624,14525819,28463790,33166664,6627284,11812691,16135351,22218697,11973100,238556,12552209,28849178,36958570,19574866,2789622,17000797,26455477,28183570,25064827,1139858,5126696,7832306,21530339,9526941,16732099,23851347,17277955,28235527,4428936,10834773,1147383,15651705,24296762,2077986,10781281,6072663,35787582,21212988,10728915,11004054,12198066,12095020,18172555,9005497,29382532,19224820,26360637,14508332,23191933,8140878,9124662,1419445,31308624,10225068,22435957,29141003,1994754,34856331,11591281,26859646,14529015,29704143,12218530,21531935,23011115,30630785,29952644,9495417,23817845,12861314,1119714,22640783,15372390,3986072,15816571,16632328,33156513,1734799,3589923,32604288,16394697,10604276,12677631,22417024,27470366,17065893,791536,12897889,9093649,16897239,14676575,30240660,18420860,28236766,29460967,15505455,19011793,11004039,9773695,23271031,23110842,16037173,15500098,9273900,11799506,7149299,9544797,12818944,15568142,10994828,16952810,17065898,22923636,3758278,3117960,16343853,8887875,16435225,9720326,35283115,32228195,26771269,21857271,20843225,17689565,1443711,8024139,7547073,7492040,7614300,26057879,20038443,10702475,19025545,17093073,7240439,25226014,4428935,20079371,21857277,34193687,12459673,25207682,25051261,33228884,7288820,7277383,21957406
Lidocaine	ototoxicity	0.03	4	22678642,9772265,12768701,1870167
Lidocaine	hematotoxicity	0.05	1	1596878
Lidocaine	cardiotoxicity	3.34	95	11133597,21369774,7733600,18570170,2922986,1061482,1844210,7639378,28502090,5789994,19733053,31846891,6691590,16691409,21263316,3263745,4016564,9693756,12430103,1651817,10195510,22687545,1322937,31535848,7068546,3777454,33712065,24052561,16632328,9882709,16615675,3377951,30529612,21841477,2553778,10551971,18347505,19258983,21729815,2199105,20034863,25428796,6398746,11974445,9251794,19853592,24254523,6859605,26602425,4037401,22529438,10866891,7331741,20507243,19462923,10208349,9602589,7078543,29958221,2248820,9099451,10547089,20626222,28152427,20112819,6731875,3521804,11772829,2248843,22682403,17643405,11869831,6465596,30117019,6691594,8623976,12733844,8198276,35272901,3740490,34823697,23261645,2862669,4051206,16924052,29561403,31663153,25226014,32022533,808233,4146681,11049891,17277955,17351224,1209009
Lidocaine	nephrotoxicity	-3.91	2	29402925,32103942
Fenitrothion	cardiotoxicity	2.63	3	19003596,32572764,34968465
Fenitrothion	genotoxicity	2.55	9	6759933,21785877,3824409,21298709,4038779,2086312,21417631,3125404,3125427
Fenitrothion	nephrotoxicity	0.72	2	30639957,21374789
Fenitrothion	hepatotoxicity	2.58	4	29966965,32517066,7167966,20214973
Fenitrothion	neurotoxicity	3.13	12	24998969,2439699,2453943,4091657,6532379,3775780,6933967,2449534,32034696,33621872,989683,6738925
Fenitrothion	immunotoxicity	4.46	4	30513644,31173782,29431569,8921343
Cidofovir_dihydrate	nephrotoxicity	6.00	131	14739146,30397065,29797613,17372702,15914676,7706804,18537898,10877523,23377227,16732176,29679772,14557287,9298471,10703662,17461998,7785989,9742650,15751777,10092959,31797495,8841740,25733509,16499584,8818570,18197029,7840575,23339402,11529489,9609613,11154213,8077713,12520627,27849440,31895450,19801951,9825085,33650496,10100416,31826930,21184389,17904231,23222380,12815205,33220125,12100196,24957837,24756616,9117780,9036798,31571390,18307672,26821801,12394854,15361907,34941004,9925517,19392729,16006276,9465679,9058614,36484496,10473024,15163655,16157264,36162643,9951427,12936997,9036797,24966111,17313468,35842318,19001108,22146565,8739595,18652557,23025519,19067913,26718666,17438584,34324678,15996251,11563082,10462545,30403300,26330121,28419263,18852271,35248614,19463071,25750563,16935444,10049267,17845926,10709441,9416391,9058615,28608847,12665844,18481868,11292409,11584992,22568135,10929807,16734630,20720240,18373879,24714768,11817037,16038754,11994033,29738843,19877724,19725597,19425198,12460055,22069672,21716719,15859923,21369346,12093990,18584214,16626039,21860787,15264457,23856525,15861345,17117909,12811231,21808434,22069643,21994617
Cidofovir_dihydrate	neurotoxicity	-1.40	1	15217410
Cidofovir_dihydrate	hepatotoxicity	1.64	1	23956101
Cidofovir_dihydrate	immunotoxicity	2.09	1	1416903
Cidofovir_dihydrate	genotoxicity	0.03	3	8157136,21386925,11248359
Citalopram	neurotoxicity	1.58	27	21596030,8819135,22951378,28263910,10379626,11835317,26373603,18611291,27591973,28733820,12354291,17609680,23131584,11114483,26610922,17870537,26009299,31606639,22209360,15362595,16466332,16541247,22026961,15520491,18513404,16806624,20174647
Citalopram	hepatotoxicity	0.95	9	15086275,20206946,15121663,23956101,27225372,20843939,19094887,20553011,27271269
Citalopram	genotoxicity	-0.53	7	32375106,28854817,23232079,20851831,33725349,22750076,22272032
Citalopram	cardiotoxicity	2.87	38	22996077,22007855,6427813,34280395,12902002,24556340,26448056,12234126,8732439,24914549,29722042,17719135,22561480,22421011,22812082,15767228,25091319,24201980,1711447,10213794,22085614,29181593,6128769,25097274,23871479,18520609,9655857,18570170,6935914,27037523,6953747,18484915,21767684,22936860,17367544,21873959,19706166,18785947
Chlorpromazine_hydrochloride	cardiotoxicity	-0.03	14	2547491,26314213,2571466,16407206,36754,26415662,6285553,15372128,3802006,6109718,2220134,4794856,2537404,24052561
Chlorpromazine_hydrochloride	genotoxicity	-0.73	16	7681526,8921984,26434532,7504184,32121158,19584706,20839230,15924885,18675773,2418988,31561895,6209025,11797837,7504185,12512871,21478297
